Model,Train_Lang,Test_Lang,Target_Class,Precision,Recall,F1
AfroLM,ibo,ibo,NUM,0.8698979591836735,0.7967289719626168,0.8317073170731707
AfroLM,ibo,ibo,PUNCT,0.988108108108108,0.9978165938864628,0.9929386203150462
AfroLM,ibo,ibo,PRON,0.5872115020809686,0.9742623979912116,0.732766761095373
AfroLM,ibo,ibo,SCONJ,0.375,0.0037174721189591,0.007361963190184
AfroLM,ibo,ibo,AUX,0.3886217948717949,0.9738955823293172,0.5555555555555556
AfroLM,ibo,ibo,DET,0.5939947780678851,0.7791095890410958,0.674074074074074
AfroLM,ibo,ibo,PART,0.0,0.0,0.0
AfroLM,ibo,ibo,ADV,0.0924731182795698,0.441025641025641,0.1528888888888888
AfroLM,ibo,ibo,ADJ,0.8356940509915014,0.6197478991596639,0.7117008443908324
AfroLM,ibo,ibo,SYM,0.0,0.0,0.0
AfroLM,ibo,ibo,INTJ,0.0,0.0,0.0
AfroLM,kin,kin,SYM,0.0,0.0,0.0
AfroLM,kin,kin,VERB,0.9756935270805812,0.9754358161648178,0.9755646546030908
AfroLM,kin,kin,NUM,0.9477351916376306,1.0,0.9731663685152058
AfroLM,kin,kin,PUNCT,0.9981017463933182,0.9973444613050076,0.9977229601518026
AfroLM,kin,kin,NOUN,0.9322268326417704,0.9482273494653912,0.9401590179941416
AfroLM,kin,kin,ADP,0.9803921568627452,0.9847806624888094,0.9825815096025012
AfroLM,kin,kin,PROPN,0.8767833981841764,0.9209809264305178,0.8983388704318936
AfroLM,kin,kin,PRON,0.9187066974595844,0.95625,0.9371024734982332
AfroLM,kin,kin,DET,1.0,0.8625,0.9261744966442952
AfroLM,kin,kin,CCONJ,0.9771634615384616,0.9818840579710144,0.9795180722891568
AfroLM,kin,kin,ADJ,0.7419354838709677,0.219047619047619,0.3382352941176471
AfroLM,kin,kin,ADV,0.8613861386138614,0.7310924369747899,0.7909090909090909
AfroLM,kin,kin,SCONJ,0.9211267605633804,0.9505813953488372,0.9356223175965666
AfroLM,kin,kin,PART,0.0,0.0,0.0
AfroLM,kin,kin,AUX,0.0,0.0,0.0
AfroLM,kin,kin,X,0.0,0.0,0.0
AfroLM,all,ibo,NOUN,0.9509213990221888,0.6982877658105495,0.8052547770700637
AfroLM,all,ibo,ADP,0.7606478704259149,0.8898245614035087,0.8201811125485123
AfroLM,all,ibo,PROPN,0.8723247232472324,0.964110929853181,0.9159240604416892
AfroLM,all,ibo,VERB,0.9360558839333692,0.7718210013291981,0.8460417678484702
AfroLM,all,ibo,CCONJ,0.773109243697479,0.6583184257602862,0.7111111111111111
AfroLM,all,ibo,NUM,0.8755364806866953,0.9532710280373832,0.912751677852349
AfroLM,all,ibo,PUNCT,0.9929386203150462,0.9978165938864628,0.9953716308194936
AfroLM,all,ibo,PRON,0.5973180076628353,0.9786566227244192,0.741851058767547
AfroLM,all,ibo,SCONJ,0.2156862745098039,0.0545229244114002,0.0870425321463897
AfroLM,all,ibo,AUX,0.3743274404304381,0.9779116465863452,0.5414118954974986
AfroLM,all,ibo,DET,0.6140939597315436,0.7833904109589042,0.6884875846501128
AfroLM,all,ibo,PART,0.0,0.0,0.0
AfroLM,all,ibo,ADV,0.1009174311926605,0.5076923076923077,0.1683673469387755
AfroLM,all,ibo,ADJ,0.7398523985239852,0.842436974789916,0.787819253438114
AfroLM,all,ibo,SYM,0.0,0.0,0.0
AfroLM,all,ibo,INTJ,0.0,0.0,0.0
AfroLM,sna,sna,NOUN,0.927053266859092,0.9368867674356934,0.9319440780796624
AfroLM,sna,sna,ADP,0.8196110881257758,0.9455847255369928,0.8781028368794326
AfroLM,sna,sna,PROPN,0.9284497444633732,0.9391154508902928,0.9337521416333524
AfroLM,sna,sna,ADJ,0.8050314465408805,0.2471042471042471,0.3781388478581979
AfroLM,sna,sna,VERB,0.8697289156626506,0.9371196754563894,0.9021675454012889
